"name";"value";"dateStamp"
"motoprofil";"61158";"2025-01-10 00:00:00"
"neo";"5720";"2025-01-10 00:00:00"
"nimfas";"1662";"2025-01-10 00:00:00"
"parts4france";"12512";"2025-01-10 00:00:00"
"polcar";"44595";"2025-01-10 00:00:00"
"polcarnagy";"131824";"2025-01-10 00:00:00"
"schaefer";"16180";"2025-01-10 00:00:00"
"skv";"14";"2025-01-10 00:00:00"
"stahlcz";"8354";"2025-01-10 00:00:00"
"stahlgruber";"27035";"2025-01-10 00:00:00"
"suder";"23603";"2025-01-10 00:00:00"
"tokic";"21429";"2025-01-10 00:00:00"
"tokic_ro";"29971";"2025-01-10 00:00:00"
"vw";"2277";"2025-01-10 00:00:00"
"zsu";"67407";"2025-01-10 00:00:00"
